Temperature,Jsc 2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3,Jsc4,Voc4,FF4,Hysteresis4,PCE4
20,0.99312,0.99311,0.98799,0.98849,1.00353,1.00375,1.004,1.02795,1.0286,0.99308,0.98844,1.004,1.02874,0.9854
20,0.99311,0.99308,0.98849,0.98844,1.00375,1.004,1.004,1.0286,1.02874,0.99306,0.98868,1.00412,1.02914,0.9856
20,0.99308,0.99306,0.98844,0.98868,1.004,1.004,1.00412,1.02874,1.02914,0.99306,0.98923,1.00437,1.02984,0.98581
20,0.99306,0.99306,0.98868,0.98923,1.004,1.00412,1.00437,1.02914,1.02984,0.99304,0.98958,1.00448,1.03031,0.98602
20,0.99306,0.99304,0.98923,0.98958,1.00412,1.00437,1.00448,1.02984,1.03031,0.99301,0.98947,1.00444,1.03038,0.98623
20,0.99304,0.99301,0.98958,0.98947,1.00437,1.00448,1.00444,1.03031,1.03038,0.99299,0.98964,1.00451,1.03073,0.98646
20,0.99301,0.99299,0.98947,0.98964,1.00448,1.00444,1.00451,1.03038,1.03073,0.99295,0.98957,1.00448,1.03086,0.98669
20,0.99299,0.99295,0.98964,0.98957,1.00444,1.00451,1.00448,1.03073,1.03086,0.99295,0.98984,1.00461,1.03126,0.98692
20,0.99295,0.99295,0.98957,0.98984,1.00451,1.00448,1.00461,1.03086,1.03126,0.99294,0.98982,1.0046,1.03136,0.98716
20,0.99295,0.99294,0.98984,0.98982,1.00448,1.00461,1.0046,1.03126,1.03136,0.99292,0.99009,1.00474,1.03181,0.9874
20,0.99294,0.99292,0.98982,0.99009,1.00461,1.0046,1.00474,1.03136,1.03181,0.9929,0.99011,1.00476,1.03197,0.98762
20,0.99292,0.9929,0.99009,0.99011,1.0046,1.00474,1.00476,1.03181,1.03197,0.99288,0.99009,1.00477,1.03216,0.98785
20,0.9929,0.99288,0.99011,0.99009,1.00474,1.00476,1.00477,1.03197,1.03216,0.99284,0.9901,1.00482,1.03238,0.98808
20,0.99288,0.99284,0.99009,0.9901,1.00476,1.00477,1.00482,1.03216,1.03238,0.99284,0.99043,1.00498,1.03286,0.98828
